tag_name,gnb_scores_mean,svc_scores_mean,rfc_scores_mean,gbc_scores_mean
python,0.078338436016469323,0.0,0.0,0.0
java,0.081154311276765798,0.063492063492063489,0.055555555555555559,0.1140648723257419
c++,0.09904776942461789,0.0,0.031746031746031744,0.060606060606060608
c,0.089719244145114271,0.0,0.0,0.031746031746031744
ruby,0.078741901924622881,0.0,0.031746031746031744,0.089591567852437423
haskell,0.083615266861340173,0.19870255348516216,0.2560386473429952,0.34188034188034183
codeigniter,0.13753240924409824,0.11143177809844478,0.063492063492063489,0.14492753623188406
spring,0.18624258115603928,0.57671957671957663,0.30505050505050507,0.5478395061728395
sqlalchemy,0.22021337503793018,0.42159990547087317,0.22981366459627331,0.32627276105536979
oauth,0.46371806298276885,0.65909090909090917,0.50793650793650791,0.68780712530712529
mysql,0.092536707697998002,0.37264957264957266,0.17235209235209234,0.32627276105536979
oracle,0.080569294218186469,0.35410348313574119,0.19638371290545206,0.32716049382716045
postgresql,0.14115897219684725,0.30150241914947795,0.2045454545454545,0.29618729096989971
sqlite,0.18845457341918773,0.53463048301757976,0.14492753623188406,0.3432370099036765
ubuntu,0.22463299821547911,0.42901234567901225,0.26519159852493185,0.43732563732563734
debian,0.13584261808145892,0.19616161616161618,0.15032310684484598,0.22086247086247088
centos,0.32821925828977849,0.4285057471264368,0.31986531986531991,0.46990166345005058
osx,0.087507681832229137,0.0,0.063492063492063489,0.030303030303030304
windows-7,0.26790351491318232,0.31888888888888889,0.4814814814814814,0.50459770114942526
