tag_name,bnb_scores_mean,svc_scores_mean,rfc_scores_mean,gbc_scores_mean
codeigniter,0.17642187231113407,0.72021837811311495,0.51762375123118054,0.61222282445046672
spring,0.29572126952866723,0.72683619738285554,0.48743025047616317,0.64564589639216508
sqlalchemy,0.35160118424284742,0.89599728780401044,0.77427858255134385,0.85439264687321348
oauth,0.41177221654749746,0.82380978528149285,0.41572035872350338,0.68996181131596257
mysql,0.12560365498197953,0.38775487900078059,0.024003097173828883,0.20067657832363717
oracle,0.18176904406132857,0.63983910399252764,0.2893121693121693,0.50344299306563467
postgresql,0.19579198912731921,0.62997059467179894,0.51942047438294303,0.38075363729033462
sqlite,0.17317596176735175,0.72932904028777912,0.49190787426081545,0.56429797844580676
ubuntu,0.26945771013732178,0.57010523216210951,0.20409747873060244,0.43906850725032548
debian,0.30795764255511476,0.72395479128210116,0.56745540979325726,0.70427121834042206
centos,0.23532475858476579,0.58786974088883992,0.16415709893970762,0.31735351066313294
osx,0.12833613750468528,0.40619607843137251,0.16352995663340489,0.34690800640457392
windows-7,0.24986263321559041,0.45271883959513609,0.046544628920107856,0.20707977681705647
python,0.09214733061796522,0.31819560910470002,0.095169082125603863,0.15633519873726501
java,0.072704541275969856,0.17255382747186024,0.008130081300813009,0.066277486357225399
c++,0.12917900787400413,0.21101796226528943,0.00823045267489712,0.083020152767873778
c,0.13145759268664295,0.29620682347955074,0.03137254901960785,0.11689146288484625
ruby,0.097872108875842689,0.39726745274190534,0.13286218660329116,0.20489482200647249
haskell,0.25248619707351555,0.77080951582204194,0.73781839143016825,0.60777385428649378
